Edad (años),Hombres/Casos,Hombres/Tasa,Mujeres/Casos,Mujeres/Tasa,Total/Casos,Total/Tasa
0 a 4,53,2.42,37,1.77,90,2.1
5 a 9,60,2.74,40,1.91,100,2.33
10 a 14,79,3.52,49,2.28,128,2.91
15 a 17,168,12.32,57,4.39,225,8.45
18 a 19,171,19.13,40,4.71,211,12.11
20 a 24,638,30.41,110,5.47,748,18.2
25 a 29,588,32.31,118,6.35,706,19.19
30 a 34,527,32.52,91,5.34,618,18.59
35 a 39,378,26.45,56,3.67,434,14.68
40 a 44,339,24.21,69,4.53,408,13.95
45 a 49,299,22.41,66,4.53,365,13.08
50 a 54,279,24.7,60,4.82,339,14.27
55 a 59,235,26.13,68,6.86,303,16.02
60 a 64,169,24.18,47,6.07,216,14.66
65 a 69,170,33.22,57,9.86,227,20.83
70 a 74,176,46.15,59,12.93,235,28.05
75 a 79,132,48.78,54,15.66,186,30.22
80 y más,190,73.79,61,17.2,251,41
Sin información,2,0,0,0,2,0
Total,4653,20.47,1139,4.89,5792,12.58
